Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
72.62084197998047,72.68128882574726,71.37321819790198,71.62709199861638,135480400
71.9148178100586,72.67644657227763,71.68995732022762,71.84711763961168,146322800
72.48786163330078,72.52654850385467,70.78326336625187,71.03472433546915,118387200
72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000
73.30753326416016,73.60976755896645,71.84955532116523,71.84955532116523,132079200
74.8646240234375,75.05805096656148,74.03529512111521,74.28674867142341,170108400
75.03385162353516,75.59964041438873,74.53093727237567,75.09913891873681,140644800
76.63690948486328,76.66350992792401,75.23212569823723,75.35060650662172,121532000
75.60208892822266,76.78443295716991,75.4787823612356,76.57407908177844,161954400
75.27806091308594,76.28389701753257,74.84525955808967,75.40137480354196,121923600
76.2210464477539,76.33227394816954,75.45941772509225,75.82209877195635,108829200
77.06489562988281,77.06730848616459,76.16302603037396,76.47009335198214,137816400
76.54264068603516,77.13501540190998,76.40482009407555,76.6925476967564,110843200
76.81584167480469,77.36952937649916,76.72154106940934,77.02860833807343,101832400
77.18577575683594,77.26556233295065,76.32017294133449,76.86903492947071,104472000
76.96334838867188,78.17711850688946,76.77233427243553,77.43241654524255,146537600
74.70020294189453,75.38203764467593,73.71612668009978,74.96858335214901,161940000
76.81343841552734,76.98510540061056,75.48360773770071,75.58274145549967,162234000
78.42131805419922,79.2699941203994,77.70562947444549,78.44791850299463,216229200
78.30767059326172,78.36086410726632,77.06972049871605,77.50252193635508,126743200
74.83562469482422,78.01996079771159,74.54064375527754,77.59683282419269,199588400
74.63008880615234,75.79791852993898,73.07297758859362,73.57589206005755,173788400
77.09391021728516,77.2849243200521,75.83177975550196,76.23798079684781,136616400
77.7225341796875,78.52284958990063,77.11806590135353,78.22302830628803,118826800
78.63165283203125,78.63407306645281,77.43481001675215,77.9933381396351,105425600
77.56283569335938,78.37959155549372,77.07084287275849,78.12995987600213,117684000
77.93124389648438,77.93124389648438,76.06506702253098,76.14504296724274,109348800
77.46106719970703,78.50079892091712,77.242943577511,78.42809351227764,94323200
79.30058288574219,79.30542744679461,77.91185062961374,77.91185062961374,113730400
78.73588562011719,79.06307473499535,78.36749924118695,78.5710817713545,94747600
78.75528717041016,79.0049189494575,78.24632709184701,78.70438598515923,80113600
77.31321716308594,77.494988049833,76.24924802244713,76.43101890919421,152531200
78.43293762207031,78.6631837418977,77.55559118024817,77.55559118024817,93984000
77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000
75.87117767333984,77.66465663516524,75.2531595150605,77.22113145649439,129554000
72.26725769042969,73.72142482703582,70.09812948275813,72.04428953806494,222195200
69.8194351196289,73.32155861585304,69.34683505576753,72.93863104325503,230673600
70.927001953125,72.19455366055257,69.43648208910632,69.4437526290761,198054800
66.29061889648438,69.31528870252646,66.15489724457306,68.12772055016481,320605600
66.25184631347656,67.47577466773187,62.13413237510461,62.34983736802518,426510000
72.41993713378906,73.0573481636442,67.30854119181632,68.4137074821739,341397200
70.11993408203125,73.67779421161765,69.26681804701707,73.59781828147297,319475600
73.3724136352539,73.53237288497041,71.04332648790448,71.84554131856758,219178400
70.99244689941406,72.59929546384136,70.62647911575432,71.62258011074542,187572800
70.04965209960938,70.4834806861114,68.15923783954538,68.34585328692468,226176800
64.50927734375,67.39821841408887,63.74098916297546,63.922760044618926,286744800
69.15533447265625,69.42193323548972,65.28482634158217,67.16797734192903,285290000
66.75355529785156,68.15682896396041,65.88832388635639,67.22858865883606,255598800
60.16132354736328,65.43752824947576,60.10558150322218,62.02993014789043,418474000
67.36914825439453,67.84175558934598,61.30526952735632,64.19906676832508,370732000
58.702308654785156,62.79093727126344,58.166688768527365,58.63929237514396,322423600
61.283451080322266,62.434663042742706,57.77890662120889,59.98681722549025,324056000
59.78323745727539,60.59030070646208,57.46868723066085,58.11094663703243,300233600
59.325172424316406,61.278603044823406,58.79924908019055,59.95773528488038,271857200
55.55888748168945,61.033826561579104,55.25835823713997,59.90684466812261,401693200
54.37858581542969,55.37953883867535,51.52841919602518,55.277747569925765,336752800
59.83413314819336,60.03044512491102,56.785228864020425,57.28449233521307,287531200
59.504512786865234,62.589769305130346,59.208831877065485,60.77206061282259,303602000
62.63582992553711,62.69399424747682,59.70810614809417,59.74688482814629,252087200
60.042572021484375,62.012966292537286,59.87534218227991,61.256800443757655,204216800
61.75605773925781,61.92813582111078,60.44488273934441,60.76964956297266,167976400
61.63002395629883,63.6173849288287,61.075018471181984,61.94752021431129,197002000
58.38723373413086,60.280073989764986,57.9558311223944,59.74203186534972,176218400
59.36152648925781,59.41484624870322,57.41536636391571,58.2490894772747,165934000
58.508419036865234,59.54814697291925,57.91705710849798,58.84530096187596,129880000
63.6125373840332,63.767644688716175,60.4400305164741,60.808416836837694,201820400
62.87575149536133,65.84952754543531,62.771537975758626,65.63139659297804,202887200
64.48504638671875,64.80011298883151,63.31201906395062,63.677979447206575,168895200
64.95037841796875,65.45449387759112,64.15301536095346,65.12246020269797,161834800
66.2251968383789,66.33426233514128,64.42687350884506,65.02793193786948,131022800
69.56980895996094,69.8606454816228,67.38855723633698,67.8611647349675,194994800
68.9347915649414,69.39527634714266,68.0138220005389,68.44279864460466,131154400
69.48252868652344,69.84849644250897,68.43068203167357,69.64975849579653,157125200
68.53974151611328,69.54554637079254,67.1001154570163,68.99780771504257,215250000
67.11707305908203,68.2682885484201,67.09768742099124,67.36428617146147,130015200
65.04248046875,67.19464932019156,64.3299378788463,66.95955863717874,180991600
